Date,Transaction_Time,Type,Ticker,Name,Description,Shares,Price_Per_Share_EUR,Amount_EUR,Cash_Balance_EUR
2025-01-15,08:56:00,WITHDRAWAL,CASH,Cash,Trustly/Sofort Storting Kosten,,,-1.0,1299.0
2025-01-15,08:56:00,DEPOSIT,CASH,Cash,Reservation iDEAL / Sofort Deposit,,,1300.0,1300.0
2025-01-16,05:10:00,DEPOSIT,CASH,Cash,Sofort Deposit,,,1300.0,1299.0
2025-01-16,05:10:00,DEPOSIT,CASH,Cash,Reservation iDEAL / Sofort Deposit,,,-1300.0,-1.0
2025-01-16,09:04:00,BUY,VUSA.DE,VANGUARD S&P 500 UCITS ETF USD,"Koop 10 @ 110,003 EUR",10.0,110.003,1100.03,198.97
2025-01-16,10:03:00,BUY,VVSM.DE,VANECK SEMICONDUCTOR UCITS ETF,"Koop 4 @ 42,5 EUR",4.0,42.5,170.0,26.65
2025-02-06,17:12:00,WITHDRAWAL,CASH,Cash,DEGIRO Aansluitingskosten 2025 (Xetra - XET),,,-2.5,20.95
2025-02-07,21:05:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,2.5,23.45
2025-02-10,10:07:00,DEPOSIT,CASH,Cash,flatex Deposit,,,1000.0,1020.95
2025-02-11,17:02:00,BUY,82W.BE,HIMS & HERS HEALTH INC,"Koop 10 @ 42,3 EUR",10.0,42.3,423.0,597.95
2025-02-12,01:52:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,428.38,1020.95
2025-02-12,17:17:00,BUY,SRTA,STRATA CRITICAL MEDICAL INC,"Koop 100 @ 3,3999 USD",100.0,3.2802,329.22,-339.99
2025-02-13,02:23:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,332.37,592.57
2025-02-15,20:13:00,DEPOSIT,CASH,Cash,flatex Deposit,,,1000.0,1260.2
2025-02-18,13:16:00,BUY,82W.BE,HIMS & HERS HEALTH INC,"Koop 4 @ 57,1 EUR",4.0,57.1,228.4,1031.8
2025-02-18,17:32:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,233.1,1260.2
2025-02-19,15:27:00,BUY,AMD,ADVANCED MICRO DEVICES INC,"Koop 4 @ 109,86 EUR",4.0,105.1459,420.58,587.66
2025-02-19,15:34:00,BUY,AMD,ADVANCED MICRO DEVICES INC,"Koop 2 @ 108,96 EUR",2.0,104.2845,208.57,364.3
2025-02-20,02:02:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,667.46,1027.1
2025-02-21,15:46:00,BUY,82W.BE,HIMS & HERS HEALTH INC,"Koop 6 @ 52,7 EUR",6.0,52.7,316.2,43.44
2025-02-22,02:10:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,321.21,38.43
2025-02-24,09:04:00,SELL,VVSM.DE,VANECK SEMICONDUCTOR UCITS ETF,"Verkoop 4 @ 40,665 EUR",-4.0,40.665,162.66,201.09
2025-02-24,09:04:00,SELL,VUSA.DE,VANGUARD S&P 500 UCITS ETF USD,"Verkoop 4 @ 109,28 EUR",-4.0,109.28,437.12,635.01
2025-02-24,10:44:00,BUY,82W.BE,HIMS & HERS HEALTH INC,"Koop 13 @ 47,05 EUR",13.0,47.05,611.65,21.84
2025-02-24,16:15:00,SELL,SRTA,STRATA CRITICAL MEDICAL INC,"Verkoop 100 @ 3,545 USD",-100.0,3.3843,354.5,354.5
2025-02-24,18:16:00,BUY,82W.BE,HIMS & HERS HEALTH INC,"Koop 7 @ 47,3 EUR",7.0,47.3,331.1,19.28
2025-02-24,18:51:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,22.63,14.22
2025-02-25,03:01:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,1.58,14.22
2025-02-25,14:46:00,SELL,VUSA.DE,VANGUARD S&P 500 UCITS ETF USD,"Verkoop 6 @ 108,173 EUR",-6.0,108.173,649.04,663.26
2025-02-25,14:47:00,SELL,AMD,ADVANCED MICRO DEVICES INC,"Verkoop 6 @ 102,76 EUR",-6.0,98.2283,589.37,1276.04
2025-02-25,15:05:00,BUY,82W.BE,HIMS & HERS HEALTH INC,"Koop 30 @ 37,9 EUR",30.0,37.9,1137.0,132.98
