Product,Ticker,USD
CARDLYTICS INC,CDLX,True
STRATA CRITICAL MEDICAL INC,SRTA,True
ZETA GLOBAL HOLDINGS CORP,ZETA,True
ADVANCED MICRO DEVICES INC,AMD,True
ROOT INC,ROOT,True
VANGUARD S&P 500 UCITS ETF USD,VUSA.DE,False
HIMS & HERS HEALTH INC,82W.BE,False
Q32 BIO INC,QTTB,True
PAGAYA TECHNOLOGIES LTD,PGY,True
NEBIUS GROUP NV,NBIS,True
VANECK SEMICONDUCTOR UCITS ETF,VVSM.DE,False
LEMONADE INC,LMND,True
HARROW HEALTH INC,HROW,True
AST SPACEMOBILE INC,ASTS,True
BLADE AIR MOBILITY INC,BLDE,False
UNITEDHEALTH GROUP,UNH,True
